"Id","Source","Line","Control","Type","Classification","Status","Notes"
"Controls/SearchPatternBox.xaml#QueryBox","Controls/SearchPatternBox.xaml","20","QueryBox","AutoSuggestBox","shared-control-internal","infrastructure","Primary query editor owned by the reusable synchronized search component."
"Controls/SearchPatternBox.xaml#RawPatternBox","Controls/SearchPatternBox.xaml","63","RawPatternBox","TextBox","shared-control-internal","infrastructure","Raw regex editor owned by the reusable synchronized search component."
"Controls/SearchPatternBox.xaml#SampleBox","Controls/SearchPatternBox.xaml","102","SampleBox","TextBox","shared-control-internal","infrastructure","Session-only preview sample owned by the reusable synchronized search component."
"MainWindow.xaml#SearchBox","MainWindow.xaml","64","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"MainWindow.xaml.cs#NewTabPickerSearchBox","MainWindow.xaml.cs","3037","NewTabPickerSearchBox","SearchPatternBox","integrated-core","shipped","Code-built new-tab picker search uses the shared matcher, full builder, synchronized flags, category filter, and keyboard-first activation."
"MainWindow.xaml.cs#NewTabPickerCategorySearchBox","MainWindow.xaml.cs","3049","NewTabPickerCategorySearchBox","SearchablePickerBox","integrated-core","shipped","Code-built category picker owns an anchored SearchPatternBox builder, metadata-aware matching, keyboard selection, no-match/error status, and focus return."
"Pages/AboutPage.xaml.cs#search","Pages/AboutPage.xaml.cs","97","search","SearchPatternBox","integrated-core","shipped","Offline changelog search; the complete SearchPatternBox.Spec reaches date-filtered results."
"Pages/AiChatModule.xaml#ChatSearchBox","Pages/AiChatModule.xaml","35","ChatSearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AndroidAdbModule.xaml#LogTagBox","Pages/AndroidAdbModule.xaml","167","LogTagBox","TextBox","specialized-dialect","adapter-required","ADB logcat tag selector; preserve logcat semantics."
"Pages/AppLauncherModule.xaml#SearchBox","Pages/AppLauncherModule.xaml","38","SearchBox","SearchPatternBox","integrated-core","shipped","External app catalog search."
"Pages/AppUninstallerModule.xaml#FilterBox","Pages/AppUninstallerModule.xaml","34","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ArchivesModule.xaml#OpsFilter","Pages/ArchivesModule.xaml","137","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AsciiTableModule.xaml#SearchBox","Pages/AsciiTableModule.xaml","29","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AudioEditorModule.xaml#FxFilter","Pages/AudioEditorModule.xaml","199","FxFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AudioTaggerModule.xaml#FromNamePattern","Pages/AudioTaggerModule.xaml","206","FromNamePattern","TextBox","dedicated-pattern-tool","not-applicable","Tag-to-filename template, not a search bar."
"Pages/AudioTaggerModule.xaml#ToNamePattern","Pages/AudioTaggerModule.xaml","218","ToNamePattern","TextBox","dedicated-pattern-tool","not-applicable","Filename-to-tag template, not a search bar."
"Pages/AwsCliModule.xaml#GlobalSearchBox","Pages/AwsCliModule.xaml","234","GlobalSearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AwsCliModule.xaml#HomeResourceSearchBox","Pages/AwsCliModule.xaml","369","HomeResourceSearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AwsCliModule.xaml#ResourceQueryBox","Pages/AwsCliModule.xaml","396","ResourceQueryBox","TextBox","specialized-dialect","adapter-required","AWS/JMESPath resource query; never reinterpret as .NET regex."
"Pages/AwsCliModule.xaml#S3BucketFilterBox","Pages/AwsCliModule.xaml","464","S3BucketFilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
